四川北路1999弄	四川北路1999弄小	680万元	91平米	1936
赤峰路370弄曲阳路630弄	赤峰小区	123万元	40平米	1985
凉城路585弄、凉城路589	锦苑小区	146.5万元	47平米	1998
广灵四路866弄	水木年华花园	380万元	117平米	2007
水电路1324弄	复旦小区	162万元	57平米	1998
汶水东路510弄1-17、2	灵新小区	185万元	61平米	1989
赤峰路317弄	密一小区	230万元	61平米	1986
广灵四路881弄	万峰梦湖苑	510万元	140平米	2002
东大名路888号	新外滩花苑	820万元	120平米	2014
车站北路715弄、车站北路7	文苑小区	188万元	63平米	1997
株洲路399弄	宝华城市花园	338万元	76平米	2009
广中路666号、株洲路388	建明花苑	299万元	90平米	2000
松花江路2501弄1-22号	松花小区	255万元	78平米	1996
凉城路489号	中虹丽都苑	488万元	145平米	2002
中山北一路201-209,广	广中一村	162万元	59平米	1995
四平路480弄、四平路460	新陆花苑	265万元	73平米	1998
赤峰路365弄	密三小区	220万元	60平米	1988
密云路665弄	密云花苑	250万元	94平米	2000
西江湾路168弄	建玮公寓	265万元	58平米	2000
凉城路585弄、凉城路589	锦苑小区	160万元	57平米	1996
通州路392弄、物华路88号	通海小区	127万元	35平米	1990
黄山路77号	黄山坊	220万元	91平米	2007
汶水东路505弄、汶水东路5	东方公寓	185万元	65平米	1999
曲阳路630弄、640弄	曲阳路640弄	275万元	86平米	1995
辉河路25弄	原林小区	255万元	94平米	1992
东体育会路100弄	兴华公寓	330万元	95平米	1987
凉城路1188弄	一品新筑苑	430万元	126平米	2005
车站西路288弄	文致公寓	310万元	112平米	2000
旅顺路199弄	白金府邸	1000万元	210平米	2005
凉城路1188弄	一品新筑苑	405万元	126平米	2005
凉城路585弄、凉城路589	锦苑小区	135万元	47平米	1992
华严路58弄	万峰小区二期	225万元	71平米	1997
凉城路1188弄	一品新筑苑	290万元	96平米	2005
华严路98弄	万峰小区	265万元	98平米	1997
水电路541弄	广中三村	113万元	48平米	1958
吴淞路205号、武昌路258	恒升半岛酒店公寓	225万元	52平米	2001
四平路480弄、四平路460	新陆花苑	265万元	73平米	1999
车站北路715弄、车站北路7	文苑小区	158万元	58平米	1996
吴淞路205号、武昌路258	恒升半岛酒店公寓	142万元	44平米	2001
临平路333弄	瑞虹新城	380万元	78平米	2003
汶水东路298弄1-3号	景明花园(中环明珠)	360万元	100平米	2005
大连路975弄	汇山大楼	180万元	50平米	1993
恒业路388弄1-12号	恒业公寓	310万元	95平米	1999
车站南路406弄、车站南路4	凉东小区	245万元	73平米	1993
北宝兴路191号、株洲路16	城城金岛苑	290万元	100平米	2005
文迁路38号	东盈公寓	560万元	234平米	2002
广灵一路58号	广中四村	102万元	40平米	1987
天宝路66弄	虹口现代公寓	565万元	153平米	2002
四平路480弄、四平路460	新陆花苑	265万元	73平米	1999
吴淞路205号、武昌路258	恒升半岛酒店公寓	142万元	44平米	2001
四川北路1727弄	嘉杰国际广场	468万元	121平米	2007
大连西路253弄	玉龙大厦	310万元	99平米	1998
临平路133弄	瑞虹新城二期	830万元	181平米	2005
车站西路80弄	乐久公寓	210万元	80平米	1996
中山北一路1100弄	北宸佳苑	500万元	145平米	2006
曲阳路910号、伊敏河路99	复城国际	590万元	153平米	2009
新市南路515弄	新电小区	220万元	89平米	1998
玉田路400弄、玉田路414	东体小区	152万元	47平米	1987
大连西路253弄	玉龙大厦	260万元	103平米	1998
